generation,gender,treatment,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 14-4,191.459,199.511,233.84,210.081,270.206,217.391,177.818,208.604,218.744,258.386,170.654,150.533,165.058,194.767,172.615,213.97,232.776,286.715,247.52,163.728,171.878,142.137,166.574,165.984,192.717,175.672,216.171,255.306,314.663,187.679,233.174,213.73,148.945,148.634,176.458,165.537,30.87
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 15-1,213.216,171.921,191.263,173.055,170.045,163.661,157.655,209.64,150.575,189.972,160.046,144.97,213.151,145.192,151.693,164.452,185.073,166.428,163.267,172.464,98.501,108.323,120.244,139.837,139.858,154.243,141.064,136.301,134.907,158.711,221.936,178.739,204.947,182.434,165.901,113.057,34.149
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 15-3,284.258,294.576,331.35,314.894,230.357,281.551,267.671,252.139,283.451,261.127,231.905,211.71,258.554,229.89,297.388,326.419,279.225,282.245,283.156,290.737,212.378,216.926,202.117,190.109,179.284,247.873,193.559,203.663,209.385,140.115,162.471,260.863,196.41,209.839,222.309,241.429,244.607
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 15-4,257.954,211.985,209.147,222.909,208.227,205.742,256.505,263.325,242.178,236.12,205.048,233.655,37.975,16.959,14.118,132.488,194.075,211.718,197.707,164.613,177.741,146.772,187.527,185.14,222.015,202.808,230.158,217.981,219.124,234.614,286.436,283.214,268.757,295.347,238.01,220.116,34.057
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 16-1,128.464,141.532,204.216,225.843,228.623,245.329,200.249,235.014,256.311,216.738,253.869,176.973,136.92,220.738,269.411,186.558,192.104,173.675,203.36,200.378,210.903,186.446,238.695,218.407,240.251,99.188,166.873,236.551,254.588,222.751,152.496,151.152,229.697,408.125,249.461,170.785,39.182
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 16-3,182.107,165.447,211.246,169.717,184.318,184.745,163.086,184.698,191.114,181.962,173.236,187.209,193.296,200.794,197.235,198.412,163.24,180.092,190.894,200.479,200.852,187.814,171.617,167.876,148.534,170.705,165.235,164.819,156.239,162.558,230.038,120.11,179.046,145.936,184.79,147.983,164.167
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 16-4,151.42,221.462,191.886,186.442,197.926,150.222,213.6,253.035,173.836,197.206,185.44,162.613,169.69,157.943,180.937,193.943,184.069,181.311,164.729,169.737,195.163,222.625,212.469,167.07,99.161,159.61,168.682,174.641,169.809,139.343,220.038,296.362,134.23,142.222,179.531,154.897,17.952
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 5-1,298.769,258.218,275.399,230.263,245.626,419.467,389.595,367.784,463.4,450.935,188.709,166.648,179.614,186.348,153.762,145.812,146.436,189.027,168.39,162.014,149.605,139.318,172.531,147.034,171.458,141.461,174.298,166.521,153.187,173.16,180.207,187.972,173.907,189.724,172.359,161.532,35.129
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 5-2,327.308,271.973,330.466,349.666,276.589,296.938,347.38,255.888,320.76,333.038,288.519,241.768,262.45,251.516,310.199,304.033,266.4,333.021,310.541,334.099,218.085,271.419,314.245,278.916,306.186,271.984,264.45,248.446,281.556,238.528,642.024,406.107,469.332,439.539,507.501,268.336,66.358
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 5-3,229.198,236.35,220.962,234.117,204.098,209.239,220.625,208.192,206.152,202.147,228.048,207.575,213.508,231.367,218.117,207.167,186.343,185.305,257.945,248.634,250.152,236.767,233.662,189.049,205.164,247.003,239.247,281.378,214.633,218.697,215.896,144.034,223.95,183.548,160.435,203.715,147.699
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 5-4,196.407,238.466,232.636,198.875,227.059,201.717,155.655,170.141,210.415,224.266,236.607,173.348,233.849,208.318,194.899,153.358,170.727,197.191,210.116,209.204,140.654,166.123,186.871,178.801,181.037,211.122,232.139,231.504,200.306,190.062,190.921,177.229,198.569,240.007,261.824,250.807,35.965
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 6-1,293.475,252.074,223.427,263.248,266.047,258.309,237.199,261.983,236.519,259.678,235.62,250.346,243.121,231.581,226.484,212.669,247.303,214.952,246.522,216.287,251.085,243.095,260.728,228.984,217.913,233.098,267.874,284.487,9.178,13.688,6.246,11.155,106.607,328.941,240.56,148.314,63.483
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 6-2,343.851,302.25,257.006,372.557,323.639,328.202,290.001,295.907,271.409,284.12,336.66,292.806,266.43,319.48,354.727,269.638,278.433,205.587,321.869,314.247,273.53,261.878,377.526,327.765,338.576,236.566,346.238,284.862,315.727,310.227,312.526,276.001,323.166,282.43,280.664,313.984,83.111
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 6-3,232.709,236.528,238.98,218.432,244.555,235.016,278.091,316.283,292.482,226.107,201.646,294.155,303.822,233.916,199.37,289.593,288.642,276.336,273.521,217.11,265.536,271.873,242.565,267.045,247.345,199.074,249.041,240.715,223.289,269.155,244.809,265.324,242.905,225.673,258.132,237.638,278.719
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 6-4,166.05,164.437,169.09,122.376,155.858,190.262,167.022,171.199,164.167,153.711,168.723,158.006,161.05,166.831,141.734,173.669,237.635,143.835,173.043,160.564,166.477,154.539,201.634,165.542,134.102,149.367,153.191,154.895,158.092,164.974,176.164,162.905,155.539,172.93,196.579,145.742,19.831
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 7-1,252.714,242.796,221.473,237.883,283.482,231.422,234.154,210.556,206.015,220.403,252.121,251.675,215.961,225.101,228.667,294.014,306.441,249.195,256.692,189.964,193.762,223.756,215.618,224.91,225.547,249.785,236.519,255.653,237.419,306.514,293.108,257.097,266.911,282.119,235.384,242.928,63.036
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 7-2,241.457,269.389,263.882,201.176,241.922,253.416,225.428,258.979,198.899,155.405,156.036,119.892,135.695,133.234,197.878,187.331,232.763,222.473,283.77,368.036,298.353,307.717,282.35,321.597,236.667,332.729,248.027,328.586,248.996,251.789,222.986,270.982,286.283,204.804,225.991,252.181,66.994
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 7-3,224.933,213.719,205.523,212.798,216.863,216.703,214.945,214.965,207.822,237.306,210.563,219.468,220.253,218.857,220.822,202.486,253.232,253.224,260.433,232.319,246.679,253.68,219.947,197.209,255.869,203.132,205.016,236.959,256.794,200.643,186.721,191.811,189.972,244.099,202.889,197.932,202.199
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 7-4,297.553,273.795,258.274,266.022,244.096,238.999,245.218,235.608,222.044,263.998,240.879,281.52,286.082,277.301,301.709,246.516,287.237,288.017,288.822,286.37,228.834,255.339,252.759,334.559,295.918,251.627,336.435,314.998,284.143,260.64,286.281,265.12,306.084,338.207,259.667,308.56,49.518
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 8-1,274.287,314.901,253.086,241.595,217.962,206.659,223.774,165.583,191.313,198.321,173.494,271.531,245.478,195.115,187.943,176.005,191.569,187.083,188.752,197.423,184.037,200.497,193.588,201.032,187.822,198.783,211.074,214.141,179.599,192.207,195.793,172.161,188.904,171.919,170.276,169.61,42.795
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 8-2,311.006,343.601,343.488,271.847,258.162,239.997,250.269,266.28,239.477,299.696,227.627,224.921,256.525,247.053,274.488,358.804,330.586,245.94,267.53,299.424,223.84,215.946,283.207,235.064,214.001,232.454,234.206,235.165,316.083,236.621,247.069,302.56,228.266,206.724,219.328,235.213,50.898
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 8-3,290.944,284.698,306.47,299.542,282.78,276.947,252.589,264.517,276.531,258.413,278.625,343.688,255.156,247.16,285.368,303.094,248.78,259.321,234.005,242.481,251.851,244.707,227.478,271.56,249.631,328.505,259.613,251.962,237.957,225.879,235.285,226.903,256.23,231.92,237.215,234.865,262.472
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 8-4,239.741,209.37,148.191,142.585,159.686,165.578,212.358,156.231,237.292,245.032,228.788,228.106,236.957,207.143,223.167,232.34,193.391,210.615,208.908,228.505,228.695,249.094,205.044,234.559,245.72,245.223,210.534,208.257,126.839,160.607,168.925,138.101,150.675,223.374,249.21,255.368,30.819
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 9-1,329.89,347.285,404.888,384.323,367.539,386.256,392.677,361.327,345.214,399.57,399.244,325.772,259.404,284.58,296.781,274.692,329.345,400.09,330.613,369.283,191.104,221.871,268.27,293.465,258.247,284.534,309.282,301.097,347.06,279.807,255.135,310.101,328.564,302.86,283.632,279.296,62.423
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 9-2,285.615,347.456,302.534,344.818,320.661,368.938,266.768,323.628,265.458,375.682,406.916,406.955,334.347,331.62,418.314,391.938,314.063,316.628,305.641,346.955,344.232,352.249,321.801,262.456,356.567,243.053,290.64,327.386,251.011,253.665,281.767,322.135,374.187,329.937,310.019,270.911,80.503
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 9-3,173.412,216.847,192.013,175.148,172.702,167.011,168.742,166.629,169.951,181.713,191.123,189.407,227.657,240.531,204.889,187.758,163.81,193.845,162.109,162.194,190.057,185.729,189.739,203.383,185.249,147.876,169.86,140.192,151.107,174.563,138.615,191.635,173.562,162.263,150.28,205.74,145.481
