generation,gender,treatment,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 6-26,522.703,567.032,453.87,479.272,564.319,519.952,498.23,511.477,505.82,515.779,514.07,481.367,415.693,503.593,376.494,422.075,367.533,395.587,374.425,404.953,398.005,362.255,575.633,593.949,549.89,555.905,622.781,604.089,543.43,560.678
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 6-42,530.047,386.669,443.933,433.705,346.529,428.746,501.737,510.928,453.717,361.336,418.353,474.544,305.527,375.921,341.8,326.704,368.638,338.217,353.038,360.667,404.456,402.311,468.471,497.081,359.848,320.415,308.03,269.964,388.759,470.681
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 9-13,294.584,365.695,437.509,437.075,463.186,423.668,447.22,433.765,439.737,385.874,254.251,256.135,298.824,318.863,347.675,343.496,407.36,352.284,215.156,215.881,208.163,270.286,241.936,267.476,261.369,252.148,221.215,210.976,239,223.904
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 9-29,387.902,471.635,521.142,447.52,507.606,539.67,487.323,434.934,410.21,481.579,518.138,494.614,512.813,494.7,534.043,523.218,562.158,407.042,364.121,427.071,526.825,403.761,385.737,375.631,451.934,517.895,493.331,363.111,459.741,457.596
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 9-45,299.362,278.424,243.462,256.994,248.803,272.915,240.468,271.78,263.631,248.114,244.853,253.19,254.844,253.071,234.603,219.853,230.565,295.195,325.205,415.459,366.384,341.245,219.344,203.34,162.548,171.025,115.216,142.371,387.01,166.971
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 9-49,335.797,351.886,329.726,341.153,280.002,262.523,249.049,271.944,360.915,328.972,317.164,298.238,301.151,296.744,238.971,287.347,311.951,287.838,277.396,258.174,230.609,335.304,378.381,311.665,301.95,327.424,330.936,321.576,274.539,292.106
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 11-15,479.679,491.172,464.841,416.657,449.008,528.242,587.623,570.86,411.027,467.106,429.092,459.623,515.578,412.194,484.891,419.988,417.899,601.011,595.387,625.693,575.986,604.375,565.73,577.103,590.817,602.892,584.043,598.641,583.647,594.501
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 11-31,581.31,659.52,602.938,593.798,653.958,645.275,629.152,616.555,655.527,657.488,643.458,657.342,438.156,390.427,493.836,434.83,582.836,567.111,439.289,411.904,416.742,347.799,418.23,386.547,389.39,423.065,374.932,374.273,387.075,415.854
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 11-47,463.544,529.749,359.966,384.008,362.348,368.324,408.426,393.311,370.41,364.348,361.423,401.061,431.512,465.167,479.068,412.083,347.041,340.331,325.96,337.259,344.444,363.419,297.86,363.275,318.933,332.867,336.322,325.966,373.736,328.798
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 11-50,480.702,492.081,555.088,463.482,460.014,406.017,435.826,431.694,434.39,441.218,389.28,330.148,471.266,492.187,494.694,519.638,452.666,483.709,352.001,348.792,292.829,299.26,248.13,248.167,294.57,285.397,284.821,400.273,452.159,489.124
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 12-16,571.404,560.855,573.129,519.349,539.835,485.977,339.274,319.379,352.063,369.199,392.472,432.143,481.116,299.793,480.582,361.107,304.525,359.87,329.173,391.753,489.744,391.457,365.648,384.994,338.53,327.301,346.843,308.642,299.937,311.408
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 12-32,450.155,409.855,483.728,410.733,451.443,371.336,392.521,486.817,507.512,539.278,450.014,369.486,402.295,435.876,387.316,451.658,365.018,412.876,486.825,533.251,564.067,667.864,652.204,577.919,480.973,509.06,438.032,503.303,436.259,373.478
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 12-48,520.913,541.735,511.458,542.441,484.008,521.711,573.624,467.91,343.537,393.417,472.091,456.093,498.694,297.799,308.342,338.672,381.617,471.557,417.139,475.217,441.096,411.092,481.869,442.041,365.127,385.063,364.435,290.959,448.447,358.702
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 12-51,671.765,685.267,520.483,628.859,747.224,693.98,779.912,759.03,722.275,648.697,743.372,765.866,628.365,771.9,704.855,809.614,692.886,585.125,758.762,778.778,689.411,450.315,775.155,663.098,756.221,473.797,647.227,147.894,68.069,408.245
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 15-19,443.74,473.288,524.564,479.506,394.919,331.117,325.289,367.446,261.855,368.385,321.588,334.062,318.35,331.949,259.032,394.489,300.677,230.05,264.025,374.399,395.004,370.961,331.858,250.874,281.294,263.49,334.183,473.864,538.246,454.517
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 15-3,552.193,460.919,313.627,486.764,588.393,415.807,462.891,488.827,409.618,392.314,372.427,523.258,368.286,338.93,349.057,261.638,265.765,276.806,293.126,412.646,499.469,369.32,273.167,88.605,310.624,321.265,354.107,337.397,296.238,260.767
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 15-35,340.72,336.708,335.483,336.888,422.152,388.552,449.659,426.346,597.625,600.41,564.322,570.031,366.225,562.831,430.554,585.423,434.323,664.298,657.092,564.637,571.269,544.78,571.213,351.465,357.748,319.435,585.829,572.635,479.349,473.55
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 16-20,305.712,305.528,305.076,336.97,346.293,458.716,409.973,351.763,390.243,323.392,325.879,259.802,229.712,283.078,308.321,291.845,292.151,291.076,244.568,236.094,491.972,504.449,437.394,397.748,309.73,312.6,402.798,456.672,396.333,384.576
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 16-36,73.506,27.65,24.112,80.703,278.565,305.239,202.619,188.522,163.44,173.05,200.706,225.638,210.156,220.673,222.78,235.765,211.08,216.362,230.005,223.99,237.488,236.81,233.346,229.107,231.546,231.12,252.807,232.429,263.937,331.904
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 16-4,488.018,387.94,513.471,429.328,433.087,365.182,375.752,333.057,296.657,286.918,305.097,295.393,335.711,393.152,357.461,408.331,525.101,510.114,463.706,337.519,295.342,217.279,283.895,244.908,342.173,297.696,282.676,277.733,239.465,278.339
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 3-23,515.232,359.124,354.868,378.856,381.279,510.243,289.943,333.873,345.733,469.19,441.543,425.132,430.032,525.377,499.026,352.539,504.23,302.153,363.612,498.48,466.555,345.038,543.485,408.141,428.562,445.745,277.124,264.403,346.952,316.72
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 3-39,745.949,710.864,551.737,643.237,738.263,812.067,684.826,587.019,696.975,725.232,750.244,709.216,644.552,751.728,673.437,717.565,727.921,757.226,728.652,733.171,735.464,729.899,729.202,658.965,632.624,679.953,724.05,676.035,639.695,712.467
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 3-7,495.454,498.091,466.776,481.576,574.845,537.083,573.174,511.409,537.85,517.082,358.258,286.335,287.511,286.03,337.119,379.805,368.609,299.971,253.474,333.434,331.996,285.19,299.938,285.389,292.589,313.734,367.753,353.432,332.757,381.958
