generation,treatment,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
GO000012-F2,AHR DMSO,AHR DMSO-Arena 4-08032020-1125,2.666,3.087,3.459,3.657,3.642,2.907,3.328,2.916,3.1,2.786,2.712,2.636,2.656,2.516,3.816,3.436,3.801,3.823,3.449,3.253,4.062,3.078,3.467,3.126,3.384,3.222,2.646,3.695,3.076
GO000012-F2,AHR DMSO,AHR DMSO-Arena 5-07312020-1225,1.766,2.281,1.887,1.945,2.113,2.307,2.526,2.401,2.628,2.515,2.454,2.479,2.392,2.481,2.296,2.248,2.437,2.628,2.511,2.51,2.177,2.247,2.666,2.599,2.641,2.943,2.661,2.376,2.218
GO000012-F2,AHR DMSO,AHR DMSO-Arena 5-08032020-1238,2.379,2.097,2.19,2.272,2.552,2.421,2.3,2.598,2.512,2.748,2.242,2.339,2.37,2.522,2.738,2.739,2.465,2.71,2.655,2.536,2.475,2.562,2.673,2.642,2.47,2.617,2.524,2.392,2.699
GO000012-F2,AHR DMSO,AHR DMSO-Arena 6-07312020-131,2.308,2.306,2.296,2.48,2.592,2.572,2.198,2.312,2.282,2.445,2.317,2.657,2.526,2.723,2.813,2.659,2.645,2.509,2.632,2.787,2.774,2.794,2.615,2.204,2.578,2.769,2.619,2.638,2.758
GO000012-F2,AHR DMSO,AHR DMSO-Arena 7-07312020-531,2.112,2.18,2.161,2.072,2.257,2.073,1.937,1.938,2.032,1.907,2.013,2.101,1.809,1.985,2.31,2.463,2.138,2.175,2.131,2.174,2.233,2.605,2.392,2.29,1.952,1.817,2.101,2.03,2.085
GO000012-F2,AHR DMSO,AHR DMSO-Arena 7-07312020-307,1.965,2.021,2.21,2.178,2.395,2.324,2.329,2.275,2.307,2.416,2.407,2.385,2.469,2.557,2.418,2.362,2.704,2.362,2.482,2.317,2.503,2.643,2.711,2.524,2.693,2.328,2.432,2.667,2.346
GO000012-F2,AHR DMSO,AHR DMSO-Arena 8-07312020-1135,1.85,1.987,2.054,2.051,1.963,1.876,2.111,2.087,2.07,1.963,2.394,2.146,2.02,2.187,2.356,2.296,1.971,2.175,2.389,2.253,2.043,2.223,2.256,2.112,2.419,2.262,2.197,2.139,2.08
GO000012-F2,COMO 5然 Bap,COMO 5然 Bap-Arena 1-07312020-131,2.675,2.549,2.431,2.361,2.325,2.528,2.151,2.499,2.643,2.567,2.416,2.177,2.857,2.593,2.755,2.643,2.775,2.709,3.067,2.567,2.616,2.71,2.695,2.605,2.844,2.668,2.607,2.64,2.352
GO000012-F2,COMO 5然 Bap,COMO 5然 Bap-Arena 1-08032020-1125,2.357,2.433,2.3,2.485,2.432,2.621,2.521,2.499,2.443,2.354,2.192,2.294,2.202,2.135,2.544,2.663,2.682,2.573,2.546,2.444,2.983,2.902,2.694,2.701,2.309,2.453,2.363,2.593,2.743
GO000012-F2,COMO 5然 Bap,COMO 5然 Bap-Arena 2-07312020-531,2.752,2.852,2.641,3.147,3.002,2.546,2.397,2.335,2.76,2.232,2.401,2.335,2.597,2.514,2.211,2.122,2.46,2.039,1.895,2.154,2.272,2.66,2.574,2.547,2.311,2.082,2.595,2.592,2.678
GO000012-F2,COMO 5然 Bap,COMO 5然 Bap-Arena 2-07312020-307,2.667,2.311,2.382,2.57,1.88,2.669,2.692,2.367,1.975,2.011,2.044,2.553,2.375,2.754,2.669,2.382,2.838,2.952,2.536,2.712,2.935,2.895,2.738,2.558,2.498,2.526,2.667,2.609,2.967
GO000012-F2,COMO 5然 Bap,COMO 5然 Bap-Arena 2-08032020-1125,2.539,2.62,2.603,2.702,2.679,2.786,2.779,2.822,3.133,2.602,2.508,2.939,2.877,2.918,2.778,2.845,2.927,2.672,2.936,2.651,2.523,2.606,3.013,2.986,3.063,2.909,3.022,3.125,2.849
GO000012-F2,COMO 5然 Bap,COMO 5然 Bap-Arena 3-07312020-1135,2.301,2.024,1.994,2.29,2.288,2.498,2.596,1.946,2.161,2.32,2.527,2.763,2.543,2.166,2.469,2.336,2.464,2.594,2.704,2.822,2.885,3.109,3.471,2.984,2.713,2.922,2.96,3.344,2.745
GO000012-F2,COMO 5然 Bap,COMO 5然 Bap-Arena 4-07312020-1225,2.115,2.287,2.129,2.028,2.012,1.836,2.158,2.173,2.28,1.762,1.887,2.212,2.579,2.338,2.467,2.062,2.852,3.025,2.864,2.648,2.798,2.6,2.941,3.077,2.651,2.691,2.895,2.399,2.412
GO000012-F2,COMO 5然 Bap,COMO 5然 Bap-Arena 4-08032020-1238,2.397,2.248,2.512,2.214,2.311,1.91,2.437,2.734,2.42,2.347,2.443,2.72,2.565,2.516,2.65,2.868,3.146,2.334,2.609,1.823,2.993,2.758,2.309,2.212,2.55,2.63,2.369,1.901,3.133
GO000012-F2,COMO 5然 Bap,COMO 5然 Bap-Arena 5-07312020-131,2.344,2.304,2.009,2.117,2.035,1.7,2.063,1.783,2.282,2.533,2.448,1.998,2.337,2.177,2.219,2.236,2.251,2.14,2.636,2.486,2.312,2.653,2.278,2.521,2.496,2.422,2.134,2.459,2.53
GO000012-F2,COMO 5然 Bap,COMO 5然 Bap-Arena 6-07312020-531,2.009,2.39,2.223,2.355,2.042,1.983,2.039,2.06,2.038,2.187,2.175,2.488,2.34,2.169,2.286,2.151,2.389,2.465,2.498,2.694,2.545,2.663,2.549,2.542,2.463,2.297,2.939,2.506,2.514
GO000012-F2,COMO 5然 Bap,COMO 5然 Bap-Arena 6-07312020-307,2.271,2.474,2.32,2.44,2.534,2.599,2.522,2.713,2.661,3.028,2.418,2.445,2.247,2.847,2.378,2.335,2.398,2.539,2.518,2.62,2.518,2.467,2.662,2.613,2.843,2.822,2.906,2.921,2.434
GO000012-F2,COMO 5然 Bap,COMO 5然 Bap-Arena 7-07312020-1135,2.178,2.213,2.224,2.03,2.02,2.016,2.037,2.101,1.947,1.828,2.044,2.261,1.815,1.911,2.177,2.082,2.158,2.206,2.174,1.959,2.825,2.239,2.343,2.139,2.116,2.333,2.781,2.839,2.584
GO000012-F2,COMO 5然 Bap,COMO 5然 Bap-Arena 8-07312020-1225,2.043,2.078,1.858,1.961,1.852,2.322,1.993,2.292,1.996,2.165,2.43,2.42,2.557,2.735,2.339,2.116,2.249,2.208,2.443,2.67,2.58,2.725,2.556,2.833,2.653,2.717,2.459,2.678,2.95
GO000012-F2,COMO 5然 Bap,COMO 5然 Bap-Arena 8-08032020-1238,2.23,2.307,2.457,2.225,2.186,2.374,2.518,2.257,2.421,2.281,2.781,2.471,2.15,2.272,2.242,2.027,2.261,2.206,2.062,2.166,2.616,2.655,2.967,2.339,2.566,2.355,2.41,2.513,2.286
GO000012-F2,COMO DMSO,COMO DMSO-Arena 1-07312020-531,2.193,2.062,1.989,1.851,2.11,2.012,2.232,2.579,2.65,2.462,2.409,2.181,2.581,2.652,2.355,2.844,2.605,2.329,2.674,2.325,2.32,2.359,2.343,2.302,2.415,2.197,2.407,2.555,2.566
GO000012-F2,COMO DMSO,COMO DMSO-Arena 1-07312020-307,2.422,2.321,2.223,2.527,2.516,2.374,2.829,2.624,2.626,2.753,2.4,2.142,2.402,2.084,2.387,2.133,2.715,2.623,2.511,2.763,2.503,2.653,2.793,2.637,2.759,2.986,2.983,2.769,2.571
GO000012-F2,COMO DMSO,COMO DMSO-Arena 2-07312020-1135,2.293,2.402,2.556,2.334,2.178,2.692,2.792,2.369,2.618,2.463,2.55,2.382,2.911,3.332,3.185,2.739,2.779,2.718,2.988,2.892,3.545,3.469,2.397,2.46,2.433,2.605,3.152,2.461,2.681
GO000012-F2,COMO DMSO,COMO DMSO-Arena 3-07312020-1225,2.129,1.847,2.249,2.332,2.294,1.932,2.117,2.268,2.114,2.491,2.422,2.301,1.979,1.977,2.366,2.173,2.1,2.171,2.113,2.34,2.028,1.925,2.126,2.451,2.004,2.691,2.282,2.363,2.144
GO000012-F2,COMO DMSO,COMO DMSO-Arena 3-08032020-1125,2.091,2.026,2.204,1.835,2.14,2.259,1.806,2.18,2.21,1.847,2.305,2.601,2.135,2.427,2.512,2.16,2.861,1.951,1.935,2.343,2.446,2.295,2.415,2.35,2.406,2.247,2.319,2.033,2.063
GO000012-F2,COMO DMSO,COMO DMSO-Arena 3-08032020-1238,2.288,2.19,2.271,2.283,2.345,2.352,2.414,2.258,2.264,2.309,1.938,2.354,2.149,2.213,2.275,2.59,2.676,3.066,2.823,3.009,2.76,2.565,2.774,2.787,2.644,3.024,2.837,2.429,2.398
GO000012-F2,COMO DMSO,COMO DMSO-Arena 4-07312020-131,2.228,2.413,2.3,2.137,2.563,2.623,2.612,2.292,2.485,2.108,2.251,1.943,2.672,2.643,2.338,2.371,2.447,2.095,2.446,2.341,2.627,2.54,2.576,2.577,2.854,2.34,2.271,2.125,2.364
GO000012-F2,COMO DMSO,COMO DMSO-Arena 4-08032020-1125,2.666,3.087,3.459,3.657,3.642,2.907,3.328,2.916,3.1,2.786,2.712,2.636,2.656,2.516,3.816,3.436,3.801,3.823,3.449,3.253,4.062,3.078,3.467,3.126,3.384,3.222,2.646,3.695,3.076
GO000012-F2,COMO DMSO,COMO DMSO-Arena 5-07312020-531,2.085,2.269,2.28,2.325,2.304,2.133,2.253,2.164,2.454,2.408,2.556,2.849,2.302,2.663,2.805,2.819,2.305,2.319,1.687,2.073,2.331,2.416,2.336,2.248,2.322,2.16,2.449,2.522,2.868
GO000012-F2,COMO DMSO,COMO DMSO-Arena 5-07312020-307,2.703,3.243,3.35,3.271,2.998,3.14,2.755,2.955,3.534,3.21,3.007,3.198,3.125,2.677,2.359,1.86,1.94,2.044,2.424,2.367,2.31,2.184,2.393,2.415,2.591,2.475,2.436,2.364,2.252
GO000012-F2,COMO DMSO,COMO DMSO-Arena 6-07312020-1135,2.367,2.144,2.329,2.489,2.315,2.601,2.733,2.858,2.525,2.686,3.013,2.579,2.596,2.715,2.808,2.894,2.754,2.634,2.928,2.632,2.48,2.909,3.052,3.21,3.281,2.65,2.727,2.773,2.531
GO000012-F2,COMO DMSO,COMO DMSO-Arena 7-07312020-1225,2.307,2.395,2.296,2.223,2.14,2.224,2.064,1.941,2.035,2.057,2.163,1.945,2.195,2.231,2.122,2.275,2.433,2.369,2.089,2.567,2.251,2.366,2.802,2.674,1.989,1.927,2.199,2.063,2.124
GO000012-F2,COMO DMSO,COMO DMSO-Arena 8-07312020-131,2.075,2.261,2.034,2.136,2.23,2.154,2.234,2.106,2.119,2.339,2.247,2.068,2.252,2.183,2.158,2.263,2.304,2.163,2.272,2.388,2.388,2.598,2.545,2.312,2.298,2.075,2.198,2.416,2.323
