generation,treatment,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 1-07062020-540,2.1,2.009,2.368,2.289,2.221,2.156,2.259,2.573,2.539,2.052,2.322,2.453,2.35,2.454,2.604,2.724,2.857,3.154,2.89,2.841,3.063,3.297,3.116,2.237,2.839,2.713,2.799,2.395,2.69
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 2-0752020-528,2.285,2.192,2.051,1.962,2.053,2.041,2.149,1.886,2.24,1.951,2.068,2.084,2.039,2.198,2.062,2.544,2.059,2.19,2.298,2.834,3.109,2.824,2.77,2.553,2.602,2.828,2.659,2.539,NA
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 2-0752020-1227,2.37,2.458,2.544,2.567,2.35,2.727,2.5,2.396,2.472,2.4,2.567,2.592,2.599,2.795,3.073,2.918,3.617,2.87,3.232,2.714,3.24,3.056,3.427,2.71,2.503,2.668,2.598,2.733,2.794
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 3-0752020-528,2.229,2.268,2.281,2.105,2.32,2.099,2.245,2.272,2.402,2.236,2.598,2.41,2.392,2.397,2.19,2.404,2.336,2.149,2.329,2.491,2.576,2.438,2.207,2.628,2.629,2.44,2.532,2.127,NA
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 3-0752020-124,2.063,1.956,2.339,2.43,2.34,2.323,2.668,2.529,2.544,2.765,2.821,2.656,2.487,2.348,2.731,2.708,2.716,2.799,2.608,2.092,1.905,1.999,2.342,2.773,2.317,2.5,2.091,2.724,2.692
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 4-07062020-540,1.891,1.754,1.955,1.94,1.843,2.072,1.98,1.889,1.969,2.001,1.712,1.935,1.855,1.793,2.12,2.061,2.112,1.992,2.021,2.103,2.093,1.884,1.999,1.998,2.085,2.064,1.874,1.789,2.027
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 4-0752020-1134,1.776,1.871,1.897,2.223,2.312,2.32,2.296,2.381,2.362,2.521,2.707,2.666,2.699,2.552,2.783,2.842,2.665,2.582,2.782,2.586,2.799,2.927,2.585,2.773,2.989,3.399,3.541,2.605,3.683
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 5-0752020-1134,1.958,1.914,1.949,1.983,2.02,2.103,1.898,2.158,1.899,1.958,1.956,2.06,1.997,1.89,2.065,1.865,1.877,1.787,1.947,1.988,2.016,2.125,2.074,2.139,1.876,2.138,2.251,2.531,2.233
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 6-0752020-1227,2.795,2.654,2.361,3.006,2.879,2.534,2.558,2.962,2.719,2.44,2.57,2.879,3.501,3.435,3.089,3.029,2.901,3.082,2.959,2.582,3.062,2.447,2.902,2.488,2.398,3.16,3.087,3.196,3.456
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 7-0752020-124,2.541,2.486,2.383,2.642,2.949,2.731,2.856,2.794,2.641,2.751,2.908,2.881,3.143,3.003,2.561,2.48,3.109,2.894,2.991,3.432,2.97,2.777,3.574,2.884,3.217,3.085,2.701,2.786,2.489
