generation,treatment,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
GO000012-F1,COMO 5然 Bap,COMO 5然 Bap-Arena 2-07062020-540,2.801,3.522,2.61,3.214,3.245,3.718,2.819,2.562,3.248,3.641,4.306,4.033,2.833,4.106,2.563,4.286,3.782,3.678,2.834,3.309,3.335,3.891,3.561,3.976,4.261,3.74,3.972,3.471,2.758
GO000012-F1,COMO 5然 Bap,COMO 5然 Bap-Arena 2-0752020-1134,3.485,4.098,3.794,3.89,4.272,3.578,4.032,4.053,3.387,3.745,4.306,4.337,4.136,3.887,3.232,4.181,3.808,3.43,4.568,4.945,4.896,4.832,4.183,4.335,3.432,4.124,4.172,4.449,4.745
GO000012-F1,COMO 5然 Bap,COMO 5然 Bap-Arena 3-07062020-540,3.793,4.052,3.798,3.782,3.574,3.712,3.78,3.831,3.644,3.882,4.077,3.481,3.497,3.478,3.838,3.584,3.26,4.119,4.627,3.945,4.471,4.246,4.117,4.104,4.063,4.381,4.019,3.728,4.271
GO000012-F1,COMO 5然 Bap,COMO 5然 Bap-Arena 3-0752020-225,4.55,4.585,4.703,4.196,4.536,4.489,4.254,4.585,5.045,4.166,4.736,4.59,4.828,4.116,4.635,4.858,4.913,4.252,4.763,4.246,4.597,5.408,4.908,4.62,4.355,4.653,3.865,4.35,4.696
GO000012-F1,COMO 5然 Bap,COMO 5然 Bap-Arena 4-0752020-528,3.985,3.526,3.591,4.481,4.455,4.024,3.621,3.456,3.737,3.987,3.907,3.982,3.748,3.236,3.768,3.616,3.523,4.217,4.208,4.153,4.044,2.886,3.409,3.821,4.024,3.601,3.732,3.928,NA
GO000012-F1,COMO 5然 Bap,COMO 5然 Bap-Arena 4-0752020-1227,4.194,4.618,4.219,4.669,4.347,4.607,4.812,4.576,5.541,5.342,5.036,5.524,5.34,4.997,5.802,5.445,4.35,5.674,4.999,4.088,5.441,5.818,5.167,5.784,4.294,5.493,5.288,6.15,5.831
GO000012-F1,COMO 5然 Bap,COMO 5然 Bap-Arena 4-0752020-225,3.846,3.745,3.902,3.566,3.967,3.56,4.376,4.587,4.754,4.158,4.545,5.424,4.324,5.006,4.706,4.474,4.706,4.717,4.866,4.784,4.948,4.718,4.95,5.044,4.595,4.62,4.908,3.946,5.093
GO000012-F1,COMO 5然 Bap,COMO 5然 Bap-Arena 5-0752020-124,3.698,4.615,3.767,3.753,3.937,4.558,4.159,4.034,4.424,4.064,4.338,4.562,4.71,5.079,5.666,5.131,4.773,4.464,4.197,4.562,2.972,3.572,3.269,3.313,3.141,2.928,3.742,3.659,3.878
GO000012-F1,COMO 5然 Bap,COMO 5然 Bap-Arena 7-0752020-1134,2.657,3.232,2.722,3.464,3.829,3.807,3.019,3.475,3.615,3.793,3.844,3.865,3.34,3.267,3.771,3.761,4.248,4.447,3.963,4.619,4.923,4.382,4.028,3.391,4.292,3.863,3.112,3.458,3.713
GO000012-F1,COMO 5然 Bap,COMO 5然 Bap-Arena 8-0752020-1227,3.732,3.495,3.909,4.103,4.472,4.2,4.212,4.336,5.154,4.997,4.357,4.653,4.242,4.952,4.726,4.235,5.049,4.751,4.285,4.74,4.207,4.19,4.615,4.609,4.03,4.483,4.768,4.94,4.408
GO000012-F1,COMO DMSO,COMO DMSO-Arena 1-07062020-540,3.816,3.641,4.101,3.915,4.088,3.877,3.781,4.542,4.337,3.652,3.944,4.309,4.053,4.935,4.528,4.834,5.042,6.001,5.331,5.113,5.613,6.069,5.576,4.203,5.35,4.951,5.199,4.124,4.891
GO000012-F1,COMO DMSO,COMO DMSO-Arena 1-0752020-1134,3.79,3.919,4.299,4.132,4.469,4.455,4.38,4.67,4.23,3.932,3.202,4.245,3.807,3.983,4.531,4.353,4.45,4.519,4.432,4.96,4.321,4.453,4.121,4.72,4.359,4.815,4.112,3.914,5.071
GO000012-F1,COMO DMSO,COMO DMSO-Arena 1-0752020-225,3.877,3.589,4.272,4.302,4.432,4.774,4.647,5.071,4.36,4.258,3.851,3.434,3.897,3.797,4.799,4.249,4.935,5.229,4.716,5.425,4.211,5.109,4.961,5.623,5.47,5.444,6.029,5.04,5.871
GO000012-F1,COMO DMSO,COMO DMSO-Arena 2-07062020-540,2.801,3.522,2.61,3.214,3.245,3.718,2.819,2.562,3.248,3.641,4.306,4.033,2.833,4.106,2.563,4.286,3.782,3.678,2.834,3.309,3.335,3.891,3.561,3.976,4.261,3.74,3.972,3.471,2.758
GO000012-F1,COMO DMSO,COMO DMSO-Arena 2-0752020-225,4.034,4.884,4.595,4.644,4.484,4.479,4.603,4.594,4.877,5.191,5.566,5.822,5.197,5.106,5.488,4.453,4.982,4.42,4.72,4.776,4.342,5.051,5.185,4.942,5.4,5.089,5.405,5.401,5.314
GO000012-F1,COMO DMSO,COMO DMSO-Arena 3-0752020-528,3.842,4.013,4.238,3.617,4.32,3.58,4.067,4.059,4.108,3.868,4.651,4.125,4.422,4.156,4.128,4.424,4.19,3.825,4.587,4.642,4.525,4.239,3.997,4.681,4.939,4.439,4.106,3.688,NA
GO000012-F1,COMO DMSO,COMO DMSO-Arena 3-0752020-1227,4.55,3.886,4.918,4.891,4.65,4.392,4.972,4.571,3.599,4.759,4.799,4.976,5.047,5.418,5.584,5.027,5.385,5.185,6.024,5.221,4.648,4.885,5.161,5.451,5.477,5.557,4.497,4.92,4.277
GO000012-F1,COMO DMSO,COMO DMSO-Arena 4-0752020-528,3.985,3.526,3.591,4.481,4.455,4.024,3.621,3.456,3.737,3.987,3.907,3.982,3.748,3.236,3.768,3.616,3.523,4.217,4.208,4.153,4.044,2.886,3.409,3.821,4.024,3.601,3.732,3.928,NA
GO000012-F1,COMO DMSO,COMO DMSO-Arena 4-0752020-124,5.092,4.931,4.679,3.838,5.31,4.624,4.591,4.814,6.03,5.238,4.884,4.641,5.411,5.602,5.373,6.034,5.831,4.547,4.548,4.945,5.149,4.785,5.5,5.155,5.176,4.735,5.04,5.514,4.866
GO000012-F1,COMO DMSO,COMO DMSO-Arena 6-0752020-1134,4.005,4.059,4.18,4.505,4.251,4.469,4.268,4.233,3.903,4.417,4.201,4.378,4.364,4.138,4.178,4.054,4.208,4.148,4.277,4.918,3.812,4.558,4.403,4.259,4.357,4.332,3.846,3.581,3.942
GO000012-F1,COMO DMSO,COMO DMSO-Arena 7-0752020-1227,3.937,4.61,4.759,5.13,4.452,4.501,4.658,5,4.176,5.162,4.568,4.287,4.975,4.911,5.104,4.378,4.536,4.655,4.775,4.265,4.811,4.814,5.011,4.158,3.993,5.095,4.479,4.435,5.111
GO000012-F1,COMO DMSO,COMO DMSO-Arena 8-0752020-124,3.923,4.628,4.456,3.279,4.626,4.567,4.484,4.417,4.946,4.594,4.57,4.825,4.917,4.472,3.882,4.792,4.687,4.819,4.922,4.629,4.672,4.918,5.099,4.95,4.826,4.952,5.413,4.857,5.86
