generation,gender,treatment,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 1-21,355.573,418.034,299.917,363.742,401.951,285.434,266.494,267.78,228.288,234.601,265.168,295.534,348.584,298.908,287.854,329.399,275.288,220.729,250.838,406.916,309.384,302.126,292.266,328.54,366.147,344.974,217.966,207.627,249.059,252.192
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 1-37,207.009,201.106,132.065,305.925,275.643,299.218,251.797,275.064,267.359,269.067,253.501,262.871,272.979,190.761,1.368,0,0,0,83.186,5.768,251.7,253.694,2.018,55.314,182.545,148.45,220.366,315.626,283.646,365.089
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 1-49,0,0,0,0,0,87.3,176.204,281.055,278.128,262.135,301.495,263.98,267.581,291.071,248.022,288.284,264.308,269.282,262.807,271.904,238.523,252.711,280.705,281.696,264.573,315.492,249.952,227.397,250.017,266.452
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 1-5,256.758,288.197,251.802,240.994,307.512,270.873,246.866,328.414,276.283,247.567,349.704,292.465,281.252,351.069,301.921,302.081,330.676,323.159,435.889,396.615,344.352,305.751,347.13,380.916,385.353,301.173,385.618,324.037,333.115,364.926
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 5-14,178.234,202.858,182.896,155.786,135.272,199.817,200.651,149.382,139.294,136.102,178.677,180.264,168.006,147.36,166.349,157.339,148.138,188.737,170.397,194.036,174.614,163.379,192.039,213.47,157.051,164.185,183.029,247.581,230.638,171.546
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 5-30,251.991,266.396,269.926,210.975,253.019,237.039,189.733,215.191,180.941,188.188,208.585,298.228,197.454,185.938,167.413,217.407,163.485,146.225,158.763,197.747,154.092,166.715,152.231,175.717,139.023,219.812,138.888,220.943,177.555,247.336
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 5-46,245.106,325.482,378.52,435.367,433.628,428.646,430.531,362.111,369.997,428.252,420.309,426.514,425.473,402.75,388.42,225.373,365.981,387.629,255.727,237.006,231.747,227.944,234.813,228.758,221.722,232.828,228.236,212.518,198.967,213.057
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 13-1,276.603,267.757,204.023,230.891,321.876,309.288,253.931,250.112,205.693,174.651,153.586,171.843,195.264,161.512,209.788,187.562,164.716,175.204,213.252,183.617,178.381,178.237,219.19,214.931,171.407,201.438,165.782,165.029,192.356,195.157
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 13-17,297.286,222.17,252.223,279.16,265.895,184.841,207.75,225.499,305.55,244.952,219.197,216.51,255.548,220.493,196.748,250.565,175.559,199.052,247.835,228.857,286.666,310.695,308.198,352.442,333.539,333.518,321.603,303.995,292.921,255.029
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 13-33,344.921,304.59,261.582,180.631,242.379,156.573,170.574,232.531,226.751,327.83,373.674,358.633,267.902,319.376,254.518,328.723,242.428,178.488,205.255,155.481,218.991,204.516,193.573,248.781,211.001,263.709,226.257,238.669,245.45,178.013
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 14-18,326.399,405.741,348.197,282.913,320.693,291.839,322.773,227.544,268.766,245.439,296.428,275.738,224.1,360.314,361.123,334.766,227.632,283.793,296.041,201.453,232.999,257.497,257.095,236.02,240.628,227.808,241.52,220.493,175.751,246.975
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 14-2,252.199,209.569,240.365,228.365,220.999,184.673,206.561,223.41,186.228,184.884,172.042,182.003,176.019,187.51,181.498,182.109,174.579,159.628,219.121,226.898,227.685,169.242,203.857,165.958,178.418,204.191,164.266,192.953,190.48,198.269
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 14-34,279.174,304.628,261.819,342.265,258.294,189.254,221.004,219.664,241.931,247.848,224.228,227.733,289.961,309.445,241.229,265.543,292.633,318.016,279.612,257.131,236.286,242.541,249.864,214.566,243.553,217.039,235.953,319.22,281.42,228.815
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 2-22,390.181,535.487,446.66,449.747,421.468,498.591,441.789,479.614,475.909,413.739,477.314,589.035,591.368,585.533,594.681,633.081,577.85,590.644,575.32,593.24,588.752,581.206,587.458,587.335,582.84,591.534,547.749,502.306,433.635,440.666
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 2-38,345.413,380.009,366.328,325.89,274.226,268.21,288.003,422.641,275.516,234.529,258.287,221.857,227.844,223.31,212.564,211.171,228.45,235.353,231.395,222.826,225.643,219.915,179.503,188.276,205.126,272.011,481.854,274.482,399.099,253.528
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 2-50,365.643,311.016,282.677,283.409,246.512,201.561,299.331,231.611,211.405,203.629,203.844,240.172,215.862,191.549,250.838,196.844,243.042,222.529,234.481,222.3,204.358,197.01,193.789,224.331,229.502,197.336,292.687,244.088,218.395,223.439
GO000012-F1,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 2-6,218.231,233.619,194.7,216.584,254.488,232.382,210.896,216.393,205.32,211.453,214.347,194.891,158.547,218.777,224.009,236.017,231.153,180.804,214.004,200.176,198.302,360.084,305.09,278.814,297.46,240.356,208.87,184.393,190.411,168.326
