"SampleID"	"SampleIDExtra"	"Treatments"	"Generation"	"Sex"	"Morpholino"	"Exposure"	"FishNumber"	"Tissue"	"RunID"	"Length_mm"	"Weight_g"
"1"	"BaP_0757"	"BaP_0757"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	1	"Fecal"	"s149"	42	0.961
"2"	"BaP_0758"	"BaP_0758"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	2	"Fecal"	"s150"	45	1.069
"3"	"BaP_0759"	"BaP_0759"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	3	"Fecal"	"s151"	49	1.088
"4"	"BaP_0760"	"BaP_0760"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	4	"Fecal"	"s152"	48	0.602
"5"	"BaP_0761"	"BaP_0761"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	5	"Fecal"	"s153"	45	1.172
"6"	"BaP_0762"	"BaP_0762"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	6	"Fecal"	"s154"	45	0.846
"7"	"BaP_0763"	"BaP_0763"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	7	"Fecal"	"s155"	42	0.987
"8"	"BaP_0764"	"BaP_0764"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	8	"Fecal"	"s156"	42	0.814
"9"	"BaP_0009"	"BaP_0009"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	9	"Fecal"	"s157"	48	1.547
"10"	"BaP_0010"	"BaP_0010"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	10	"Fecal"	"s158"	41	0.626
"11"	"BaP_0011"	"BaP_0011"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	11	"Fecal"	"s159"	45	0.994
"12"	"BaP_0012"	"BaP_0012"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	12	"Fecal"	"s160"	41	0.899
"13"	"BaP_0013"	"BaP_0013"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	13	"Fecal"	"s161"	43	0.922
"14"	"BaP_0014"	"BaP_0014"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	14	"Fecal"	"s162"	38	0.546
"15"	"BaP_0015"	"BaP_0015"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	15	"Fecal"	"s163"	45	1.289
"16"	"BaP_0016"	"BaP_0016"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	16	"Fecal"	"s164"	45	0.955
"17"	"BaP_0045"	"BaP_0045"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	17	"Fecal"	"s165"	46	1.366
"18"	"BaP_0046"	"BaP_0046"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	18	"Fecal"	"s166"	43	0.876
"19"	"BaP_0047"	"BaP_0047"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	19	"Fecal"	"s167"	44	1.12
"20"	"BaP_0048"	"BaP_0048"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	20	"Fecal"	"s168"	45	1.073
"21"	"BaP_0049"	"BaP_0049"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	21	"Fecal"	"s169"	44	0.988
"22"	"BaP_0050"	"BaP_0050"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	22	"Fecal"	"s170"	41	0.823
"23"	"BaP_0051"	"BaP_0051"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	23	"Fecal"	"s171"	45	1.338
"24"	"BaP_0052"	"BaP_0052"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	24	"Fecal"	"s172"	40	0.742
"25"	"BaP_0081"	"BaP_0081"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	25	"Fecal"	"s173"	43	1.168
"26"	"BaP_0083"	"BaP_0083"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	27	"Fecal"	"s175"	47	1.447
"27"	"BaP_0084"	"BaP_0084"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	28	"Fecal"	"s176"	42	0.826
"28"	"BaP_0085"	"BaP_0085"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	29	"Fecal"	"s177"	50	1.342
"29"	"BaP_0086"	"BaP_0086"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	30	"Fecal"	"s178"	42	0.989
"30"	"BaP_0087"	"BaP_0087"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	31	"Fecal"	"s179"	43	1.289
"31"	"BaP_0088"	"BaP_0088"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	32	"Fecal"	"s180"	45	1.013
"32"	"BaP_0117"	"BaP_0117"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	33	"Fecal"	"s181"	46	1.272
"33"	"BaP_0118"	"BaP_0118"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	34	"Fecal"	"s182"	40	0.822
"34"	"BaP_0119"	"BaP_0119"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	35	"Fecal"	"s183"	43	1.135
"35"	"BaP_0121"	"BaP_0121"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	37	"Fecal"	"s185"	45	1.377
"36"	"BaP_0122"	"BaP_0122"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	38	"Fecal"	"s186"	42	0.825
"37"	"BaP_0123"	"BaP_0123"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	39	"Fecal"	"s187"	46	1.48
"38"	"BaP_0124"	"BaP_0124"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	40	"Fecal"	"s188"	40	0.48
"39"	"BaP_0443"	"BaP_0443"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	41	"Fecal"	"s191"	46	1.18
"40"	"BaP_0444"	"BaP_0444"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	42	"Fecal"	"s192"	41	0.787
"41"	"BaP_0445"	"BaP_0445"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	43	"Fecal"	"s193"	45	1.189
"42"	"BaP_0446"	"BaP_0446"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	44	"Fecal"	"s194"	40	0.823
"43"	"BaP_0447"	"BaP_0447"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	45	"Fecal"	"s195"	44	1.835
"44"	"BaP_0448"	"BaP_0448"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	46	"Fecal"	"s196"	41	0.919
"45"	"BaP_0549"	"BaP_0549"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	47	"Fecal"	"s197"	44	1.33
"46"	"BaP_0550"	"BaP_0550"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	48	"Fecal"	"s198"	38	0.65
"47"	"BaP_0551"	"BaP_0551"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	49	"Fecal"	"s199"	44	0.966
"48"	"BaP_0552"	"BaP_0552"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	50	"Fecal"	"s200"	42	0.807
"49"	"BaP_0553"	"BaP_0553"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	51	"Fecal"	"s201"	46	1.537
"50"	"BaP_0554"	"BaP_0554"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	52	"Fecal"	"s202"	40	0.667
"51"	"BaP_0555"	"BaP_0555"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	53	"Fecal"	"s203"	44	0.866
"52"	"BaP_0556"	"BaP_0556"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	54	"Fecal"	"s204"	39	0.536
"53"	"BaP_0657"	"BaP_0657"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	55	"Fecal"	"s205"	44	1.137
"54"	"BaP_0658"	"BaP_0658"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	56	"Fecal"	"s206"	44	0.93
"55"	"BaP_0659"	"BaP_0659"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	57	"Fecal"	"s207"	42	1.043
"56"	"BaP_0660"	"BaP_0660"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	58	"Fecal"	"s208"	41	0.747
"57"	"BaP_0661"	"BaP_0661"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	59	"Fecal"	"s209"	43	1.01
"58"	"BaP_0662"	"BaP_0662"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	60	"Fecal"	"s210"	44	1.016
"59"	"BaP_0663"	"BaP_0663"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	61	"Fecal"	"s211"	46	1.394
"60"	"BaP_0664"	"BaP_0664"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	62	"Fecal"	"s212"	41	0.82
"61"	"BaP_0765"	"BaP_0765"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	63	"Fecal"	"s213"	43	1.042
"62"	"BaP_0766"	"BaP_0766"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	64	"Fecal"	"s214"	42	1.021
"63"	"BaP_0767"	"BaP_0767"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	65	"Fecal"	"s215"	42	1.076
"64"	"BaP_0768"	"BaP_0768"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	66	"Fecal"	"s216"	42	0.861
"65"	"BaP_0769"	"BaP_0769"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	67	"Fecal"	"s217"	45	1.37
"66"	"BaP_0770"	"BaP_0770"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	68	"Fecal"	"s218"	40	0.732
"67"	"BaP_0771"	"BaP_0771"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	69	"Fecal"	"s219"	45	1.273
"68"	"BaP_0772"	"BaP_0772"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	70	"Fecal"	"s220"	40	0.663
"69"	"BaP_0017"	"BaP_0017"	"CoMo_BaP"	"F1"	"F"	"CoMo"	"BaP"	71	"Fecal"	"s221"	43	1.341
"70"	"BaP_0018"	"BaP_0018"	"CoMo_BaP"	"F1"	"M"	"CoMo"	"BaP"	72	"Fecal"	"s222"	40	0.783
"71"	"BaP_0019"	"BaP_0019"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	73	"Fecal"	"s223"	46	1.13
"72"	"BaP_0020"	"BaP_0020"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	74	"Fecal"	"s224"	42	0.918
"73"	"BaP_0021"	"BaP_0021"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	75	"Fecal"	"s225"	42	1.147
"74"	"BaP_0022"	"BaP_0022"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	76	"Fecal"	"s226"	47	1.122
"75"	"BaP_0023"	"BaP_0023"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	77	"Fecal"	"s227"	49	1.671
"76"	"BaP_0024"	"BaP_0024"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	78	"Fecal"	"s228"	40	0.764
"77"	"BaP_0053"	"BaP_0053"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	79	"Fecal"	"s229"	47	1.262
"78"	"BaP_0054"	"BaP_0054"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	80	"Fecal"	"s230"	45	1.077
"79"	"BaP_0055"	"BaP_0055"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	81	"Fecal"	"s231"	50	1.607
"80"	"BaP_0056"	"BaP_0056"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	82	"Fecal"	"s232"	39	0.6
"81"	"BaP_0057"	"BaP_0057"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	83	"Fecal"	"s233"	41	1.333
"82"	"BaP_0058"	"BaP_0058"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	84	"Fecal"	"s234"	43	0.875
"83"	"BaP_0059"	"BaP_0059"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	85	"Fecal"	"s235"	46	1.303
"84"	"BaP_0060"	"BaP_0060"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	86	"Fecal"	"s236"	42	0.826
"85"	"BaP_0091"	"BaP_0091"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	87	"Fecal"	"s237"	45	1.182
"86"	"BaP_0092"	"BaP_0092"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	88	"Fecal"	"s238"	41	0.776
"87"	"BaP_0093"	"BaP_0093"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	89	"Fecal"	"s239"	44	1.196
"88"	"BaP_0094"	"BaP_0094"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	90	"Fecal"	"s240"	44	1.016
"89"	"BaP_0095"	"BaP_0095"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	91	"Fecal"	"s241"	46	1.464
"90"	"BaP_0096"	"BaP_0096"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	92	"Fecal"	"s242"	42	0.793
"91"	"BaP_0125"	"BaP_0125"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	93	"Fecal"	"s243"	43	1.189
"92"	"BaP_0126"	"BaP_0126"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	94	"Fecal"	"s244"	39	0.687
"93"	"BaP_0127"	"BaP_0127"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	95	"Fecal"	"s245"	47	1.226
"94"	"BaP_0128"	"BaP_0128"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	96	"Fecal"	"s246"	40	0.776
"95"	"BaP_0129"	"BaP_0129"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	97	"Fecal"	"s247"	44	1.392
"96"	"BaP_0130"	"BaP_0130"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	98	"Fecal"	"s248"	43	0.967
"97"	"BaP_0131"	"BaP_0131"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	99	"Fecal"	"s249"	44	1.112
"98"	"BaP_0132"	"BaP_0132"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	100	"Fecal"	"s250"	45	1.003
"99"	"BaP_0450"	"BaP_0450"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	102	"Fecal"	"s252"	41	0.798
"100"	"BaP_0451"	"BaP_0451"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	103	"Fecal"	"s253"	42	1.295
"101"	"BaP_0452"	"BaP_0452"	"AHR2Mo_DMSO"	"F1"	"M"	"AHR2Mo"	"DMSO"	104	"Fecal"	"s254"	43	0.943
"102"	"BaP_0453"	"BaP_0453"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	105	"Fecal"	"s255"	43	0.928
"103"	"BaP_0454"	"BaP_0454"	"AHR2Mo_DMSO"	"F1"	"F"	"AHR2Mo"	"DMSO"	107	"Fecal"	"s256"	45	1.354
"104"	"BaP_0455"	"BaP_0455"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	109	"Fecal"	"s257"	45	1.221
"105"	"BaP_0456"	"BaP_0456"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	110	"Fecal"	"s258"	37	0.58
"106"	"BaP_0557"	"BaP_0557"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	111	"Fecal"	"s259"	46	1.568
"107"	"BaP_0558"	"BaP_0558"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	112	"Fecal"	"s260"	47	0.599
"108"	"BaP_0559"	"BaP_0559"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	113	"Fecal"	"s261"	40	0.864
"109"	"BaP_0560"	"BaP_0560"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	114	"Fecal"	"s262"	40	0.749
"110"	"BaP_0561"	"BaP_0561"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	115	"Fecal"	"s263"	40	0.807
"111"	"BaP_0562"	"BaP_0562"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	116	"Fecal"	"s264"	40	0.812
"112"	"BaP_0563"	"BaP_0563"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	117	"Fecal"	"s265"	45	1.315
"113"	"BaP_0564"	"BaP_0564"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	118	"Fecal"	"s266"	38	0.527
"114"	"BaP_0665"	"BaP_0665"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	119	"Fecal"	"s267"	41	1.063
"115"	"BaP_0666"	"BaP_0666"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	120	"Fecal"	"s268"	40	0.688
"116"	"BaP_0667"	"BaP_0667"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	121	"Fecal"	"s269"	44	1.251
"117"	"BaP_0668"	"BaP_0668"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	122	"Fecal"	"s270"	42	0.771
"118"	"BaP_0669"	"BaP_0669"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	123	"Fecal"	"s271"	42	1.024
"119"	"BaP_0670"	"BaP_0670"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	124	"Fecal"	"s272"	44	0.902
"120"	"BaP_0671"	"BaP_0671"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	125	"Fecal"	"s273"	42	0.945
"121"	"BaP_0672"	"BaP_0672"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	126	"Fecal"	"s274"	38	0.618
"122"	"BaP_0773"	"BaP_0773"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	127	"Fecal"	"s275"	41	0.944
"123"	"BaP_0774"	"BaP_0774"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	128	"Fecal"	"s276"	40	0.747
"124"	"BaP_0775"	"BaP_0775"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	129	"Fecal"	"s277"	42	1.037
"125"	"BaP_0776"	"BaP_0776"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	130	"Fecal"	"s278"	41	0.745
"126"	"BaP_0777"	"BaP_0777"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	131	"Fecal"	"s279"	44	1.155
"127"	"BaP_0778"	"BaP_0778"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	132	"Fecal"	"s280"	42	1.009
"128"	"BaP_0779"	"BaP_0779"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	133	"Fecal"	"s281"	43	0.965
"129"	"BaP_0780"	"BaP_0780"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	134	"Fecal"	"s282"	39	0.718
"130"	"BaP_0099"	"BaP_0099"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	135	"Fecal"	"s285"	48	1.663
"131"	"BaP_0100"	"BaP_0100"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	136	"Fecal"	"s286"	41	0.811
"132"	"BaP_0101"	"BaP_0101"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	137	"Fecal"	"s287"	47	1.37
"133"	"BaP_0102"	"BaP_0102"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	138	"Fecal"	"s288"	40	0.624
"134"	"BaP_0103"	"BaP_0103"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	139	"Fecal"	"s289"	44	1.067
"135"	"BaP_0104"	"BaP_0104"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	140	"Fecal"	"s290"	40	0.673
"136"	"BaP_0133"	"BaP_0133"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	141	"Fecal"	"s291"	44	1.321
"137"	"BaP_0134"	"BaP_0134"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	142	"Fecal"	"s292"	41	0.912
"138"	"BaP_0135"	"BaP_0135"	"AHR2Mo_BaP"	"F1"	"F"	"AHR2Mo"	"BaP"	143	"Fecal"	"s293"	45	1.213
"139"	"BaP_0136"	"BaP_0136"	"AHR2Mo_BaP"	"F1"	"M"	"AHR2Mo"	"BaP"	144	"Fecal"	"s294"	41	0.767
