"SampleID"	"SampleIDExtra"	"Treatments"	"Generation"	"Sex"	"Morpholino"	"Exposure"	"FishNumber"	"Tissue"	"RunID"	"Length_mm"	"Weight_g"
"41"	"BaP_0681"	"BaP_0681"	"CoMo_BaP"	"F2"	"M"	"CoMo"	"BaP"	46	"Fecal"	"s335"	37	0.812
"42"	"BaP_0097"	"BaP_0097"	"CoMo_BaP"	"F2"	"F"	"CoMo"	"BaP"	47	"Fecal"	"s336"	38.5	1.267
"43"	"BaP_0683"	"BaP_0683"	"CoMo_BaP"	"F2"	"M"	"CoMo"	"BaP"	48	"Fecal"	"s337"	33.5	0.74
"44"	"BaP_0141"	"BaP_0141"	"CoMo_BaP"	"F2"	"F"	"CoMo"	"BaP"	49	"Fecal"	"s338"	40	1.529
"45"	"BaP_0143"	"BaP_0143"	"CoMo_BaP"	"F2"	"M"	"CoMo"	"BaP"	50	"Fecal"	"s339"	38	0.742
"46"	"BaP_0144"	"BaP_0144"	"CoMo_BaP"	"F2"	"F"	"CoMo"	"BaP"	51	"Fecal"	"s340"	33	0.841
"47"	"BaP_0789"	"BaP_0789"	"CoMo_BaP"	"F2"	"M"	"CoMo"	"BaP"	52	"Fecal"	"s341"	32	0.712
"48"	"BaP_0790"	"BaP_0790"	"CoMo_BaP"	"F2"	"F"	"CoMo"	"BaP"	53	"Fecal"	"s342"	39	1.533
"49"	"BaP_0791"	"BaP_0791"	"CoMo_BaP"	"F2"	"M"	"CoMo"	"BaP"	54	"Fecal"	"s343"	35.5	0.911
"50"	"BaP_0792"	"BaP_0792"	"CoMo_BaP"	"F2"	"F"	"CoMo"	"BaP"	55	"Fecal"	"s344"	34.5	0.899
"51"	"BaP_0673"	"BaP_0673"	"CoMo_BaP"	"F2"	"M"	"CoMo"	"BaP"	56	"Fecal"	"s345"	35	0.699
"52"	"BaP_0674"	"BaP_0674"	"CoMo_BaP"	"F2"	"F"	"CoMo"	"BaP"	57	"Fecal"	"s346"	37	1.325
"53"	"BaP_0675"	"BaP_0675"	"CoMo_BaP"	"F2"	"M"	"CoMo"	"BaP"	58	"Fecal"	"s347"	36	0.785
"54"	"BaP_0676"	"BaP_0676"	"CoMo_BaP"	"F2"	"F"	"CoMo"	"BaP"	59	"Fecal"	"s348"	33	0.876
"55"	"BaP_0677"	"BaP_0677"	"CoMo_BaP"	"F2"	"M"	"CoMo"	"BaP"	60	"Fecal"	"s349"	33	0.713
"56"	"BaP_0678"	"BaP_0678"	"CoMo_BaP"	"F2"	"F"	"CoMo"	"BaP"	61	"Fecal"	"s350"	35	1.005
"57"	"BaP_0679"	"BaP_0679"	"CoMo_BaP"	"F2"	"M"	"CoMo"	"BaP"	62	"Fecal"	"s351"	37.5	0.867
