generation,treatment,ID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28
F2,CoMo _BaP,COMO 5µM Bap-Arena 2-07312020-307,4.779,4.017,4.21,4.546,2.858,4.754,4.658,3.968,3.258,3.383,3.402,4.503,4.003,4.914,4.523,4.383,4.905,5.586,4.822,4.931,5.339,5.175,5.134,4.449,4.791,4.401,4.619,5.059,5.251
F2,CoMo _BaP,COMO 5µM Bap-Arena 2-08032020-1125,4.565,5.177,4.74,4.767,4.568,4.957,4.891,5.114,5.841,4.773,4.392,5.268,5.532,5.17,5.118,5.227,5.271,5.302,5.574,4.875,4.783,4.81,5.403,5.958,6.374,5.475,5.28,5.942,5.175
F2,CoMo _BaP,COMO 5µM Bap-Arena 3-07312020-1135,3.729,3.801,3.445,3.943,4.303,4.28,4.668,3.349,3.951,4.391,4.651,4.953,4.557,3.81,4.543,4.263,4.406,4.787,4.85,5.378,5.158,5.828,6.454,5.522,5.165,5.612,5.92,5.844,5.006
F2,CoMo _BaP,COMO 5µM Bap-Arena 4-07312020-1225,3.372,3.987,3.528,3.483,3.345,2.937,3.648,3.737,3.722,2.669,3.137,3.534,4.619,3.904,4.385,3.54,4.982,5.37,4.792,4.46,5.019,4.352,5.075,5.895,4.696,4.828,5.063,4.256,3.87
F2,CoMo _BaP,COMO 5µM Bap-Arena 4-08032020-1238,4.117,3.704,4.222,4.087,3.986,3.081,4.113,4.973,4.332,4.042,4.062,4.392,4.539,4.618,4.661,4.885,5.568,4.178,4.69,2.964,5.231,4.553,4.177,3.731,4.475,4.428,3.94,3.094,5.847
F2,CoMo _BaP,COMO 5µM Bap-Arena 5-07312020-131,4.269,3.987,3.591,3.888,3.569,2.689,3.659,3.088,4.148,4.522,4.071,3.504,3.828,3.869,3.812,4.378,4.114,3.679,4.52,4.263,3.783,4.732,3.933,4.669,4.358,4.395,3.84,4.202,4.383
F2,CoMo _BaP,COMO 5µM Bap-Arena 6-07312020-531,3.405,3.986,3.929,4.076,3.572,3.459,3.407,3.437,3.301,3.989,3.97,4.21,4.093,3.702,4.185,3.642,4.5,4.661,4.51,4.742,4.868,5.096,4.634,4.788,4.193,4.254,5.312,4.628,4.738
F2,CoMo _BaP,COMO 5µM Bap-Arena 6-07312020-307,4.38,4.557,3.878,4.224,4.266,4.634,5.31,4.855,5.184,5.643,5.012,4.445,3.996,5.318,4.225,4.232,4.298,4.553,4.582,4.954,4.668,4.183,4.924,5.12,5.341,5.036,4.851,4.899,4.631
F2,CoMo _BaP,COMO 5µM Bap-Arena 7-07312020-1135,3.764,3.809,3.922,4.003,3.747,3.798,3.656,3.659,3.271,3.335,3.411,3.757,3.118,3.217,3.729,3.524,3.867,3.692,3.656,3.403,5.185,3.952,4.065,3.664,3.55,4.559,5.382,5.195,4.812
F2,CoMo _BaP,COMO 5µM Bap-Arena 8-07312020-1225,3.682,3.649,3.208,3.273,3.225,4.223,3.595,4.328,3.619,3.735,4.26,4.272,4.675,4.924,4.372,3.687,4.221,4.121,4.36,5.596,4.995,5.279,4.584,5.744,4.903,5.37,4.523,4.815,5.312
F2,CoMo _BaP,COMO 5µM Bap-Arena 8-08032020-1238,3.981,4.172,4.382,3.938,3.875,4.252,4.531,3.822,4.254,3.945,5.205,4.045,3.466,3.795,4.035,3.708,3.849,3.926,3.253,3.615,4.851,4.522,5.538,4.121,4.46,4.287,4.167,4.475,4.152
F2,CoMo_DMSO,COMO DMSO-Arena 1-07312020-531,3.897,3.569,3.224,3.256,3.488,3.689,4.083,5.046,4.729,4.509,4.397,3.815,4.78,4.769,4.004,5.529,4.757,3.899,4.735,4.158,4.159,4.263,4.323,4.128,4.219,4.254,4.233,4.514,4.475
F2,CoMo_DMSO,COMO DMSO-Arena 1-07312020-307,4.53,4.045,4.021,4.363,4.541,4.191,5.071,4.775,4.753,4.555,4.426,3.654,3.976,3.504,3.828,3.668,4.978,4.816,4.69,5.028,4.531,4.807,5.71,4.774,4.883,5.143,5.261,5.386,5.319
F2,CoMo_DMSO,COMO DMSO-Arena 2-07312020-1135,3.901,4.297,3.957,3.654,3.763,4.655,5.106,4.558,4.671,4.291,4.543,4.179,5.054,5.936,4.984,4.891,4.798,4.471,5.447,5.075,6.012,6.02,4.021,4.038,4.278,3.732,4.478,4.268,5.011
F2,CoMo_DMSO,COMO DMSO-Arena 3-07312020-1225,3.492,3.353,3.836,4.087,3.984,3.391,3.71,3.819,3.557,4.432,4.102,3.987,3.26,3.251,4.259,4.08,3.88,3.909,3.594,4.144,3.52,3.324,3.625,4.373,3.366,4.78,4.253,4.3,3.748
F2,CoMo_DMSO,COMO DMSO-Arena 3-08032020-1125,3.563,3.257,3.806,3.037,3.662,3.905,2.893,3.753,3.619,2.948,3.9,4.695,3.774,3.977,4.332,3.544,4.945,3.114,3.171,4.389,4.364,4.037,4.336,4.269,4.497,3.874,4.165,3.664,3.577
F2,CoMo_DMSO,COMO DMSO-Arena 3-08032020-1238,4.089,3.985,4.242,4.041,4.276,4.181,4.482,4.003,3.861,4.101,3.309,4.282,3.753,3.789,3.899,4.564,4.64,5.143,4.714,5.322,4.63,4.446,4.638,4.593,4.537,5.226,4.764,3.915,3.839
F2,CoMo_DMSO,COMO DMSO-Arena 4-07312020-131,3.879,4.289,3.684,3.591,4.426,4.652,4.595,3.87,4.493,3.49,3.904,3.407,4.666,4.583,4.488,4.232,4.167,3.388,4.29,4.258,4.678,4.734,4.743,4.471,4.824,4.174,3.762,3.488,4.251
F2,CoMo_DMSO,COMO DMSO-Arena 4-08032020-1125,4.553,5.264,6.105,6.312,6.27,5.185,5.557,5.133,5.644,5.131,4.628,4.646,4.855,4.684,6.417,6.399,7.02,6.173,5.549,6.004,7.42,5.693,6.067,5.346,6.04,5.505,4.42,6.225,5.57
F2,CoMo_DMSO,COMO DMSO-Arena 5-07312020-531,3.66,3.65,3.795,4.064,4.331,3.724,3.817,4.064,4.493,4.325,4.358,5.813,4.416,4.662,5.238,5.448,4.22,4.596,2.883,3.699,4.099,4.479,4.283,4.148,4.018,3.912,4.464,4.91,5.473
F2,CoMo_DMSO,COMO DMSO-Arena 5-07312020-307,4.889,6.389,6.459,5.562,5.607,6.828,5.153,5.359,5.965,6.342,5.361,5.422,5.475,4.88,4.254,3.208,3.315,3.672,4.481,4.35,4.111,4.014,4.376,4.319,4.705,4.636,4.534,4.561,4.105
F2,CoMo_DMSO,COMO DMSO-Arena 6-07312020-1135,4.133,3.585,3.95,4.165,3.974,4.275,5.113,4.825,4.247,5.1,5.299,4.676,4.645,4.646,4.891,4.922,4.621,4.801,4.87,4.85,4.362,5.046,5.383,5.544,5.717,4.899,4.181,4.579,4.615
F2,CoMo_DMSO,COMO DMSO-Arena 7-07312020-1225,4.518,4.419,4.151,3.79,3.626,3.796,3.556,3.225,3.472,3.411,3.519,3.335,3.809,3.745,3.502,3.725,4.183,4.096,3.352,4.483,3.769,4.191,4.708,4.565,3.473,3.314,3.84,3.422,3.658
F2,CoMo_DMSO,COMO DMSO-Arena 8-07312020-131,3.664,3.996,3.494,3.511,3.768,3.757,3.941,3.519,3.626,4.031,4.113,3.444,4.24,3.951,3.885,4.261,3.894,4.151,3.901,4.044,4.263,4.688,4.703,4.01,3.953,3.834,4.19,4.367,4.413
