generation,treatment,ID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28
F1,AHRMo_BaP,AHR 5µM Bap-Arena 3-0752020-124,3.702,3.133,4.234,4.2,4.138,4.083,4.94,4.749,4.381,4.936,4.824,5.007,4.351,4.21,4.832,4.738,4.658,4.796,4.246,3.028,2.631,2.87,4.086,4.761,3.561,3.955,3.597,5.026,4.442
F1,AHRMo_BaP,AHR 5µM Bap-Arena 4-07062020-540,3.044,2.962,3.395,3.354,3.23,3.591,3.269,3.21,3.227,3.424,2.821,3.607,3.143,2.974,3.494,3.452,3.674,3.422,3.486,3.514,3.518,3.373,3.509,3.312,3.592,3.905,3.176,3.064,3.363
F1,AHRMo_BaP,AHR 5µM Bap-Arena 4-0752020-1134,3.184,3.368,3.231,3.836,4.11,4.14,3.874,3.972,4.259,4.66,4.913,4.777,4.865,4.468,4.826,4.867,4.916,4.583,4.876,4.523,4.837,5.414,4.709,4.728,5.686,6.383,5.87,4.729,6.531
F1,AHRMo_BaP,AHR 5µM Bap-Arena 5-0752020-1134,3.217,3.405,3.42,3.306,3.241,3.799,3.202,3.854,3.14,3.394,3.332,3.44,3.302,3.303,3.46,3.129,3.023,2.892,3.545,3.31,3.311,3.617,3.557,3.685,3.249,3.904,4.004,4.357,3.818
F1,AHRMo_BaP,AHR 5µM Bap-Arena 6-0752020-1227,4.816,4.694,3.83,5.161,4.892,4.478,5.022,5.022,4.738,3.971,4.43,4.992,5.783,5.634,4.839,5.022,5.147,5.493,5.149,4.809,5.245,4.035,5.467,4.756,4.487,5.34,4.661,5.12,5.424
F1,AHRMo_BaP,AHR 5µM Bap-Arena 7-0752020-124,4.71,4.525,4.307,4.746,5.184,4.865,5.097,4.889,4.609,5.103,4.749,5.249,5.842,5.684,4.488,4.516,5.788,5.093,5.319,5.818,5.225,4.56,6.355,5.13,5.605,5.18,5.029,4.921,4.422
F1,AHRMo_DMSO,AHR DMSO-Arena 1-0752020-528,3.474,3.861,3.991,3.424,4.353,3.927,3.575,3.894,3.773,6.591,4.64,4.97,5.113,4.595,3.819,3.536,3.936,4.445,4.13,3.809,3.619,4.07,4.154,3.889,4.059,4.636,4.275,3.752,NA
F1,AHRMo_DMSO,AHR DMSO-Arena 1-0752020-1227,5.142,4.894,5.225,4.674,5.399,5.286,4.932,4.66,5.337,5.208,4.947,4.865,5.312,5.324,4.879,5.263,5.506,5.401,5.372,5.097,4.986,5.639,5.094,4.14,5.67,4.869,5.37,5.044,5.891
F1,AHRMo_DMSO,AHR DMSO-Arena 2-0752020-528,4.081,3.714,3.508,3.414,3.353,3.609,3.648,3.381,3.907,3.415,3.501,3.523,3.601,3.955,3.783,4.425,3.385,3.977,4.255,5.159,5.599,5.7,5.775,4.56,4.59,5.137,4.811,4.44,NA
F1,AHRMo_DMSO,AHR DMSO-Arena 3-07062020-540,3.793,4.052,3.798,3.782,3.574,3.712,3.78,3.831,3.644,3.882,4.077,3.481,3.497,3.478,3.838,3.584,3.26,4.119,4.627,3.945,4.471,4.246,4.117,4.104,4.063,4.381,4.019,3.728,4.271
